Pharmacy,Cluster,Metric,Acquisition_Date,Fiscal_Year,Quarter,Date,Value,Value - old v
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q1,Apr-24,16,16
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q1,May-24,14,14
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q1,Jun-24,9,9
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q2,Jul-24,12,12
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q2,Aug-24,11,11
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q2,Sep-24,20,20
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q3,Oct-24,30,30
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q3,Nov-24,33,33
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q3,Dec-24,28,28
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q4,Jan-25,43,43
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q4,Feb-25,25,25
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2025,Q4,Mar-25,43,43
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q1,Apr-25,37,37
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q1,May-25,20,20
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,NHS Services - Pharmacy First,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q1,Apr-24,120,120
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q1,May-24,209,209
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q1,Jun-24,11,11
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q2,Jul-24,71,71
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q2,Aug-24,25,25
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q2,Sep-24,21,21
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q3,Oct-24,177,177
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q3,Nov-24,39,39
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q3,Dec-24,18,18
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q4,Jan-25,8,8
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q4,Feb-25,12,12
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2025,Q4,Mar-25,19,19
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q1,Apr-25,56,56
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q1,May-25,26,26
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,Blood Pressure + APBM tests,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q1,Apr-24,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q1,May-24,7,7
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q1,Jun-24,32,32
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q2,Jul-24,1,1
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q2,Aug-24,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q2,Sep-24,7,7
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q3,Oct-24,87,87
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q3,Nov-24,90,90
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q3,Dec-24,63,63
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q4,Jan-25,81,81
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q4,Feb-25,52,52
Darwen,Darwen,NMS Services,01 April 2025,FY2025,Q4,Mar-25,57,57
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q1,Apr-25,144,144
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q1,May-25,100,100
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,NMS Services,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q1,Apr-24,152488.59,152488.59
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q1,May-24,146410.91,146410.91
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q1,Jun-24,126209.95,126209.95
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q2,Jul-24,130523.18,130523.18
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q2,Aug-24,120634.33,120634.33
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q2,Sep-24,120712.2,120712.2
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q3,Oct-24,202043.15,202043.15
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q3,Nov-24,143523.88,143523.88
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q3,Dec-24,128039.22,128039.22
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q4,Jan-25,130974.65,130974.65
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q4,Feb-25,103231.64,103231.64
Darwen,Darwen,Total Revenue,01 April 2025,FY2025,Q4,Mar-25,125119.94,125119.94
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q1,Apr-25,131849.33,131849.33
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q1,May-25,129389.29,129389.29
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,Total Revenue,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q1,Apr-24,22574.57,22574.57
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q1,May-24,22333.16,22333.16
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q1,Jun-24,11206.2,11206.2
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q2,Jul-24,7685.73,7685.73
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q2,Aug-24,4612.54,4612.54
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q2,Sep-24,9285.68,9285.68
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q3,Oct-24,82931.32,82931.32
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q3,Nov-24,34072.58,34072.58
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q3,Dec-24,16151.01,16151.01
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q4,Jan-25,8113.57,8113.57
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q4,Feb-25,8419.12,8419.12
Darwen,Darwen,Services Revenue,01 April 2025,FY2025,Q4,Mar-25,7281,7281
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q1,Apr-25,12394.23,12394.23
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q1,May-25,9473.6,9473.6
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,Services Revenue,01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q1,Apr-24,7273.61,7273.61
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q1,May-24,9190.8,9190.8
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q1,Jun-24,6919.12,6919.12
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q2,Jul-24,7685.73,7685.73
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q2,Aug-24,4612.54,4612.54
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q2,Sep-24,9285.68,9285.68
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q3,Oct-24,11828.48,11828.48
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q3,Nov-24,10448.06,10448.06
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q3,Dec-24,6270.2,6270.2
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q4,Jan-25,7433.4,7433.4
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q4,Feb-25,8367.56,8367.56
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2025,Q4,Mar-25,7281,7281
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q1,Apr-25,8009.1,8009.1
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q1,May-25,8764.84,8764.84
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q1,May-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q1,Jun-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q2,Jul-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q2,Aug-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q2,Sep-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q3,Oct-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q3,Nov-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q3,Dec-26,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q4,Jan-27,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q4,Feb-27,0,0
Darwen,Darwen,"Services Revenue (exc one off Flu, Covid vaccines, Pharmacy Quality services)",01 April 2025,FY2027,Q4,Mar-27,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q1,Apr-24,40977.67,40977.67
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q1,May-24,37604.15,37604.15
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q1,Jun-24,25187.79,25187.79
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q2,Jul-24,24648.14,24648.14
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q2,Aug-24,18876.76,18876.76
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q2,Sep-24,19430.65,19430.65
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q3,Oct-24,71151.8,71151.8
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q3,Nov-24,23777.4,23777.4
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q3,Dec-24,30968.79,30968.79
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q4,Jan-25,33633.66,33633.66
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q4,Feb-25,27092.41,27092.41
Darwen,Darwen,Gross Profit £,01 April 2025,FY2025,Q4,Mar-25,24352.95,24352.95
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q1,Apr-25,42490.36,42490.36
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q1,May-25,38105.25,38105.25
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,Gross Profit £,01 April 2025,FY2026,Q4,Mar-26,0,0
